"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",158,19083
"2",2," Vielen Dank.","","","01",158,19083
"3",3," — Die nächste Rednerin ist Brigitte Freihold für die Fraktion Die Linke.","","","02",158,19083
"4",4," Brigitte Freihold:","","","03",158,19083
"5",5,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Der deutsche Kolonialismus war ein Unrechtsregime, ohne Wenn und Aber.","","","04",158,19083
"6",6," Das muss auch so deutlich benannt werden.","","","05",158,19083
"7",7," Was für die NS-Terrorherrschaft gilt, gilt auch für die deutschen Kolonialverbrechen.","","","06",158,19083
"8",8," Daraus folgen Konsequenzen für die Aufarbeitung:","","","07",158,19083
"9",9," Anerkennung des Genozids an Herero und Nama, Entschädigung, Wiedergutmachung, Rückgabe geraubter Kulturgüter und nicht zuletzt die Sensibilisierung unserer Gesellschaft in der schulischen, politischen und kulturellen Bildung.","","","08",158,19083
"10",10," Deshalb begrüßen wir, dass die Kollegen und Kolleginnen von Bündnis90/Die Grünen die Einschätzung aus unserer Kleinen Anfrage teilen, Deutschlands koloniale Fremdherrschaft als ein verdrängtes Kapitel unserer Geschichte dringend in den Fokus rücken zu müssen.","","","09",158,19083
"11",11," Bei der Aufarbeitung der deutschen Kolonialverbrechen stellt sich nicht die Frage nach dem Vergleich mit den NS-Verbrechen, sondern nach der Fortwirkung dieser beiden historischen Erfahrungen, nach den Nachwirkungen in unserer heutigen Zeit.","","","10",158,19083
"12",12," Der Völkermord in Namibia gehört zur Vorgeschichte des Holocaust.","","","11",158,19083
"13",13," Der Beitrag der Bundesregierung zur Aufarbeitung der Kolonialzeit und zur Restitution von geraubtem Kulturgut ist bislang nichts als heiße Luft.","","","12",158,19083
"14",14," Die Grundsätze der Washingtoner Konferenz müssen auch auf Raubgut aus kolonialen Kontexten Anwendung finden.","","","13",158,19083
"15",15," Genauso wie beim NS-Kulturgutraub dürfen wir nicht zulassen, dass auch das Raubgut aus kolonialen Kontexten im privaten Besitz unter Immunität gestellt wird.","","","14",158,19083
"16",16," Die Bundesregierung hat kein Konzept zur Aufarbeitung der Kolonialzeit in der kulturellen und schulischen Bildung und versteckt sich hinter der Länderhoheit.","","","15",158,19083
"17",17," Der laute Verweis auf Frankreich wird gerade da kleinlaut, wenn es um gesetzliche Regelungen zur Restitution geht.","","","16",158,19083
"18",18," Frau Staatsministerin Grütters, machen Sie doch endlich Ernst:","","","17",158,19083
"19",19," Stellen Sie die Restitution von NS-Kulturraubgut und aus kolonialen Kontexten auf gesetzliche Grundlagen! Dass das Unrechtsbewusstsein über die deutsche Kolonialherrschaft, die Kolonialverbrechen und den antikolonialen Widerstand überhaupt Eingang in die Erinnerungskultur der Bundesrepublik fand, ist vor allem denBrigitte Freiholdzivilgesellschaftlichen Initiativen zu verdanken.","","","18",158,19083
"20",20," Dieses Engagement verdient unsere Hochachtung.","","","19",158,19083
"21",21," Der Beitrag der schwarzen Community und der antirassistischen Bewegung muss gebührend berücksichtigt werden.","","","20",158,19083
"22",22," Erst durch sie rückten die Dimensionen der unabgeschlossenen deutschen Kolonialgeschichte in das öffentliche Bewusstsein.","","","21",158,19083
"23",23,"So wie Antisemitismus oder Antiziganismus oft als Folge fehlender NS-Aufarbeitung weiter existieren, so sind die regelmäßigen Diskriminierungen, Racial Profiling oder Todesfälle wie der von Oury Jalloh in einer Dessauer Polizeizelle auch als Folge fehlender Aufarbeitung des deutschen Kolonialismus zu betrachten.","","","22",158,19083
"24",24," Dies bestätigte übrigens eine UN-Delegation im Rahmen der UN-Dekade für Menschen afrikanischer Abstammung.","","","23",158,19083
"25",25," Sie kritisierte unter anderem die Nichtumsetzung des Gleichheitsgebotes aus unserem Grundgesetz, die mangelnde Aufarbeitung des Völkermords an den Herero und Nama sowie fehlende Reparationsleistungen.","","","24",158,19083
"26",26," Deshalb fordert die Linke, dass staatliche Einrichtungen auf mögliche Nachwirkungen der Kolonialzeit überprüft werden, wie es mit Blick auf den Nationalsozialismus geschah.","","","25",158,19083
"27",27," Dies schließt auch die Überprüfung internationaler Beziehungen auf Nachwirkungen kolonialer Denkmuster ein, wie dies gerade erst gestern von Bundeskulturverbänden gefordert wurde.","","","26",158,19083
"28",28,"Eine umfassende Aufarbeitung der deutschen Kolonialherrschaft einschließlich der begangenen Gewaltverbrechen wurde bisher verweigert.","","","27",158,19083
"29",29," Wir werden diese Verweigerung nur durch individuelle Verantwortungsübernahme und gesamtgesellschaftliche Aufarbeitung in der schulischen, politischen und kulturellen Bildung durchbrechen.","","","28",158,19083
"30",30,"Herzlichen Dank.
Vizepräsident Thomas ","","","29",158,19083
