"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",17,19111
"2",2," Herr Kollege Dobrindt, erlauben Sie eine Zwischenfrage?Alexander Dobrindt:","","","01",17,19111
"3",3," Nein, ich erlaube keine.","","","02",17,19111
"4",4,"Ich will in dem Zusammenhang auf das eingehen, was Sie vorhin angesprochen haben, Frau Göring-Eckardt.","","","03",17,19111
"5",5," Sie haben sinngemäß gesagt:","","","04",17,19111
"6",6," Landwirtschaft zerstört die Landschaft.","","","05",17,19111
"7",7," Also, die Landwirtschaft, die seit Jahrhunderten die Kulturlandschaft in Deutschland erst ermöglicht und gepflegt hat, zerstört Ihrer Meinung nach die Landschaft.","","","06",17,19111
"8",8," Die Frau Bundeskanzlerin hat vorhin von der Arroganz gegenüber den ländlichen Räumen gesprochen.","","","07",17,19111
"9",9," Sie haben diese Arroganz hier im Deutschen Bundestag eindrucksvoll zur Schau gestellt mit Ihrer Verunglimpfung eines ganzen Berufsstands.","","","08",17,19111
"10",10," Entlastungen der Bürger, Investitionen in die Wirtschaft, die schwarze Null:","","","09",17,19111
"11",11," Das alles ist kein Widerspruch; es ist eine Frage der politischen Schwerpunkte.","","","10",17,19111
"12",12," Wir halten die schwarze Null.","","","11",17,19111
"13",13," Wir entlasten die Menschen mit über 13 Milliarden Euro.","","","12",17,19111
"14",14," Wir investieren in Infrastruktur und vieles andere mehr.","","","13",17,19111
"15",15," Das ist alles im Sinne von Generationengerechtigkeit:","","","14",17,19111
"16",16," Sicherheit, Klimaschutz, Infrastrukturinvestitionen, die übrigens gerade von unseren Ministerien der CSU maßgeblich mit besetzt werden.","","","15",17,19111
"17",17," Die Verkehrsinvestitionen von Andi Scheuer sind auf Rekordniveau.","","","16",17,19111
"18",18," Die innere Sicherheit wurde deutlich gestärkt mit über 1 000 Stellen, auch bei der Bundespolizei.","","","17",17,19111
"19",19," Der Entwicklungshilfeetat von Minister Müller wurde erstmals über die 10-Milliarden-Euro-Grenze gebracht.","","","18",17,19111
"20",20,"Ja, wir wollen auch mehr in die Verteidigung investieren.","","","19",17,19111
"21",21," Dietmar Bartsch hat hier noch mal darauf hingewiesen, dass die Bundesregierung viel zu viel für Verteidigung ausgebe.","","","20",17,19111
"22",22," Meine Damen und Herren, das Gegenteil ist richtig.","","","21",17,19111
"23",23," Wir sind in einem Bündnis eine Verpflichtung eingegangen, haben Zusagen über die 2 Prozent gemacht und wollen ein Zwischenziel von 1,5 Prozent erreichen.","","","22",17,19111
"24",24," Das werden wir in den Haushaltsberatungen auch weiterverfolgen, damit dies möglich ist.","","","23",17,19111
"25",25,"Ich sage Ihnen an dieser Stelle, meine Damen und Herren von den Linken:","","","24",17,19111
"26",26," Ja, wir wollen Verantwortung in der Welt übernehmen.","","","25",17,19111
"27",27," Wer Verantwortung in der Welt übernehmen will, der muss erst einmal sagen, dass er seine Soldaten unterstützen will.","","","26",17,19111
"28",28," Dazu gehört, dass sie die best Alexander Dobrindtmögliche Ausstattung von uns bekommen und hier nicht einfach so dargestellt werden, als würden sie Geld verschwenden.","","","27",17,19111
"29",29," Ich habe die zwei großen Herausforderungen, die parallel existieren, mit „Klimawandel bekämpfen“ und „Konjunktur und Wirtschaft stützen“ beschrieben.","","","28",17,19111
"30",30," Es gibt den einen oder anderen, der jetzt ruft:","","","29",17,19111
"31",31," „Kümmert euch erst mal nur ums Klima und nicht so sehr um die Wirtschaft!“, und es gibt andere, die sagen:","","","30",17,19111
"32",32," „Kümmert euch doch einfach mal um die Wirtschaft und die Konjunktur und vergesst den Klimaschutz! Der ist ja ein Wirtschaftskiller.","","","31",17,19111
"33",33,"““Liebe Frau Weidel, Sie haben gesagt, es handele sich um „Klimaschutzwahn“ in unseren Debatten und Beiträgen hier.","","","32",17,19111
"34",34," Ich glaube, dass Sie damit sehr deutlich belegt haben, dass Sie sich mit bürgerlich-konservativer Politik mehr als nur schwertun und damit in Wahrheit nichts anfangen können.","","","33",17,19111
"35",35," Die Bewahrung der Schöpfung ist gerade der Nukleus der bürgerlich-konservativen Politik und kein Wahn.","","","34",17,19111
"36",36," Deswegen schützen wir das Klima, meine Damen und Herren.","","","35",17,19111
"37",37," Wenn wir es schaffen, jetzt auch in den Verhandlungen bis zum Klimakabinett am 20.","","","36",17,19111
"38",38," September dafür zu sorgen, dass wir eine vernünftige Kombination von Konjunkturmaßnahmen, Maßnahmen für Wirtschaftsförderung und Klimaschutz zusammenbringen, dann haben wir mit diesem Zukunftspaket auch eine echte Chance auf ein ökologisches Wirtschaftswunder in unserem Land.","","","37",17,19111
"39",39,"Wir waren in der Vergangenheit auch immer die Marktführer, wenn es um Green Technology ging.","","","38",17,19111
"40",40," Wir waren auch immer die Marktführer, wenn es um neue Technologien im Bereich der Energie ging.","","","39",17,19111
"41",41," Wir haben die Energiewende bewusst gestaltet.","","","40",17,19111
"42",42," Wir sind heute so weit, dass wir bei den erneuerbaren Energien unsere Ziele für 2020 eindeutig erfüllen, sogar übererfüllen.","","","41",17,19111
"43",43," Das haben wir nicht geschafft, indem wir ein Verbot für konventionellen Strom ausgesprochen haben, sondern indem wir auf erneuerbare Energien und Innovationen gesetzt haben und sie gefördert haben.","","","42",17,19111
"44",44," Wir sorgen für Innovation.","","","43",17,19111
"45",45," Das ist der Fortschrittsmotor.","","","44",17,19111
"46",46," Verbote sind nur Stillstand.","","","45",17,19111
"47",47," Deswegen wählen wir den Fortschritt.","","","46",17,19111
"48",48,"Da wollen wir die Menschen mitnehmen.","","","47",17,19111
"49",49," Das geht nicht einfach mit einer CO,-Steuer, die alles nur verteuert.","","","48",17,19111
"50",50," Wir wollen keine Entscheidungen treffen, die nur dazu führen, dass der Spritpreis an der Zapfsäule steigt.","","","49",17,19111
"51",51," Wir wollen, dass die Menschen dabei sind, wenn es um Klimaschutz geht.","","","50",17,19111
"52",52," Deswegen darf Klimaschutz nicht die neue soziale Frage werden, sondern Klimaschutz muss die Innovationsfrage sein in diesem Land, bei der alle Menschen mitgenommen werden, meine Damen und Herren.","","","51",17,19111
"53",53,"Herzlichen Dank.
Vizeprasident Wolfgang ","","","52",17,19111
