"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",57,19134
"2",2," Vielen Dank, Detlev Spangenberg.","","","01",57,19134
"3",3," — Nächste Rednerin:","","","02",57,19134
"4",4," für die SPD-Fraktion Sabine Dittmar.","","","03",57,19134
"5",5," Sabine Dittmar:","","","04",57,19134
"6",6,"Frau Präsidentin! Kolleginnen und Kollegen! Für die betriebliche SLIDE BIEE ist heute ein guter Tag.","","","05",57,19134
"7",7," Mit dem GKV-B tz, das wir heute verabschieden.","","","06",57,19134
"8",8," stärken wir zum einen die betriebliche Altersvorsorge, wir heilen zum anderen aber auch endlich eine alte Wunde des G dheit:","","","07",57,19134
"9",9," zes.","","","08",57,19134
"10",10,"ore2004 gab es viele nachvollziehbare Gründe für das GMG:","","","09",57,19134
"11",11," 5 Millionen Arbeitslose; die Sozialkassen waren leer; die Sozialversicherungsbeiträge galoppierten davon.","","","10",57,19134
"12",12," Deshalb hat auch eine breite parlamentarische Mehrheit Verantwortung übernommen:","","","11",57,19134
"13",13," SPD, Grüne, CDU/CSU.","","","12",57,19134
"14",14," Auch wenn das GMG höchstrichterlich abgeklärt wurde und die Verbeitragung der Betriebsrenten seinerzeit ein notwendiger Schritt war, um die gesetzliche Krankenversicherung zu stabilisieren, so schauen auch wir Sozialdemokraten kritisch auf dieses Gesetz zurück.","","","13",57,19134
"15",15,"Sabine Dittmar Ich bin froh, dass wir die Union davon tiberzeugen konnten, gesetzgeberisch tatig zu werden.","","","14",57,19134
"16",16," Sie sehen, meine Damen und Herren, wir können auch Dinge behandeln und lösen, die im Koalitionsvertrag noch nicht vereinbart wurden.","","","15",57,19134
"17",17," Es ist gut, dass wir heute nach langen und intensiven Verhandlungen eine wirklich gute Lösung für die Betriebsrentnerinnen und Betriebsrentner verabschieden.","","","16",57,19134
"18",18," Mit der Umwandlung der Freigrenze in einen echten Freibetrag sorgen wir dafür, dass alle Empfänger von Betriebsrenten, die i in der gesetzlichen Kranl ungp hert sind, ab dem 1.","","","17",57,19134
"19",19," Januar 2020 finanziell entlastet werden.","","","18",57,19134
"20",20," Das gilt im Übrigen auch für die Empfänger von Renten und Landabgaberenten nach dem Gesetz über die Alterssicherung der Landwirte.","","","19",57,19134
"21",21,"Die Entlastung wird automatisch erfolgen, ohne dass extra ein Antrag gestellt werden muss.","","","20",57,19134
"22",22," Der Freibetrag gilt ab dem 1.","","","21",57,19134
"23",23," Januar 2020, ganz egal, ob man die monatliche oder die einmalige Auszahlung wählt.","","","22",57,19134
"24",24," Aufgrund der Umstellungsphase kann es allerdings zu einer Verzögerung der Umsetzung in den ersten Monaten kommen.","","","23",57,19134
"25",25," Zu viel gezahlte Beiträge werden aber auf jeden Fall zurückerstattet, ohne dass die Betroffenen selbst aktiv werden müssen.","","","24",57,19134
"26",26,"Konkret bedeutet die Neuregelung, dass Betriebsrentner künftig monatlich um circa 25 Euro entlastet werden — oder, bei Einmalzahlung, um gut 3 000 Euro für die Laufzeit.","","","25",57,19134
"27",27," Wenn Sie beispielsweise 300 Euro Betriebsrente beziehen, sind derzeit 46,50 Euro Krankenversicherungsbeiträge fällig, ab 1.","","","26",57,19134
"28",28," Januar 2020 nur noch 21,82 Euro.","","","27",57,19134
"29",29," Oder, noch sehr viel krasser, das Beispiel aus dem gestrigen „Morgenmagazin“:","","","28",57,19134
"30",30," Bei einer Betriebsrente von 160 Euro zahlen Sie aktuell 24,80 Euro Beitrag, ab dem 1.","","","29",57,19134
"31",31," Januar 2020 sind es nur noch 11 Cent.","","","30",57,19134
"32",32,"Sie sehen, wir entlasten alle pflichtversicherten Betriebsrentner, aber ganz besonders die Rentner mit kleinen und mittleren Betriebsrenten, und das sind über 60 Prozent der Bezieher von Betriebsrenten.","","","31",57,19134
"33",33," Auch für Betriebsrentner, die ihre Einmalauszahlung bereits erhalten haben, gilt der Freibetrag für die Restlaufzeit.","","","32",57,19134
"34",34,"Sehr geehrte Damen und Herren, mit dem GKV-Betriebsrentenfreibetragsgesetz wird die betriebliche Altersvorsorge heute wieder attraktiver und ein Stück weit gestarkt.","","","33",57,19134
"35",35," Damit setzen wir ein Signal, dass sich Vorsorge lohnt und sinnvoll ist.","","","34",57,19134
"36",36," Klar ist aber auch:","","","35",57,19134
"37",37," Die Entlastung der Betriebsrentner muss gegenfinanziert werden.","","","36",57,19134
"38",38," Die Entlastung der Betriebsrentner schlägt ab 1.","","","37",57,19134
"39",39," Januar 2020 mit rund 1,2 Milliarden Euro pro Jahr zu Buche.","","","38",57,19134
"40",40," Die Mittel werden in der Umstellungsphase bis 2023 mit Zuschüssen aus der Liquiditätsreserve des Gesundheitsfonds kofinanziert und sind deshalb für den Zusatzbeitrag nicht relevant.","","","39",57,19134
"41",41,"Heute, Kolleginnen und Kollegen, haben wir eine Gerechtigkeitslücke im Beitragsrecht geschlossen.","","","40",57,19134
"42",42," Die wiederholten Reparaturbemühungen zeigen aber auch, dass wir eine grundlegende Reform im Beitragsrecht benötigen.","","","41",57,19134
"43",43," Uns geht die Arbeit also nicht aus.","","","42",57,19134
"44",44," Aber heute entlasten wir erst einmal die Betriebsrentner.","","","43",57,19134
"45",45," Ich bitte daher um Zustimmung für das gelungene Gesetz.","","","44",57,19134
"46",46,"Danke für die Aufmerksamkeit.
Vizepräsidentin Claudia ","","","45",57,19134
