"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",24,19138
"2",2," Zu einer Zwischenbemerkung erteile ich das Wort dem Kollegen Karsten Hilse, AfD.","","","01",24,19138
"3",3," Karsten Hilse:","","","02",24,19138
"4",4,"Ja, ganz ruhig.","","","03",24,19138
"5",5," — Wenn die Frau Lay schon explizit unseren Landkreis anspricht, dann möchte ich dazu gern Stellung nehmen.","","","04",24,19138
"6",6," Es wäre schön gewesen, wenn Sie die Zwischenfrage zugelassen hätten.","","","05",24,19138
"7",7,"Ich möchte Sie einfach nur darauf hinweisen, dass die Asylbewerber in unserem Landkreis deswegen in großen Unterkünften untergebracht sind, weil der Landrat das so entschieden hat, und der ist von der CDU.","","","06",24,19138
"8",8,"Der Leerstand kommt, zumindest in Hoyerswerda, auch dadurch zustande, dass die Wohnungsgesellschaft die Fördergelder für den Abriss abgreifen und deswegen leerstehende Wohnungen nicht wieder beziehen lassen will.","","","07",24,19138
"9",9," Das ist der Grund für den Leerstand von Wohnungen.","","","08",24,19138
"10",10," Es gibt noch eine Wohnungsgenossenschaft; dort gibt es überhaupt keinen Leerstand.","","","09",24,19138
"11",11," Also, das, was Sie hier erzählen, ist absoluter Blödsinn, Entschuldigung.","","","10",24,19138
"12",12," Präsident Dr.
 Wolfgang ","","","11",24,19138
